이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,지역,고객 세그먼트
Mina Farsi,1997-12-29,28,남,01514960220,rossstewart@smith.org,"Studio 75I, Mason mountain, Paulberg, LU8A 2AZ",rogerwilliams,2022-09-03,준중형 SUV,C'eed,False,2024-03-18,54457826,신용카드,1,온라인,2023-05,중동아프리카,0
Maria Reyes,1987-03-26,38,여,523.045.1424x69637,venegasrocio@jurado.com,"Retorno Barela 129 197, San Clemente los bajos, NAY 11723",vanesa66,2022-04-25,픽업트럭,C'eed CUV,False,2023-04-22,35583724,계좌이체,4,오프라인,2021-08,중남미,2
Fernanda Morales,1999-09-07,26,남,+90(1)3171871803,antoniogarza@hotmail.com,"Boulevard República Democrática Popular Lao 328 717, Vieja Líbano, BCS 71489-8153",alonsocanales,2022-05-15,준대형 세단,KX5,False,2024-05-12,40136888,계좌이체,1,온라인,2018-07,중남미,3
Ricardo Torres,1979-11-08,46,여,(558)310-6212x88916,herediareina@yahoo.com,"Ampliación Guanajuato 031 Edif. 186 , Depto. 090, Vieja Líbano, SIN 50856-2455",elsa81,2025-02-22,준중형 해치백,C'eed,False,2025-02-24,51433989,신용카드,1,오프라인,2020-05,중남미,0
Pedro Reyes,1966-09-17,59,남,298-565-8513,fcruz@yahoo.com,"Circunvalación Godínez 234 599, Vieja Granada, SON 21678-5557",vadame,2024-05-22,준대형 세단,C'eed,False,2024-11-21,28002802,현금,4,오프라인,2018-03,중남미,2
Camila Morales,1972-02-04,53,남,1-639-029-6408x218,ursula80@yahoo.com,"Cerrada Sur Tejeda 718 Edif. 798 , Depto. 823, San Bruno los altos, TAMPS 95860",zeferino05,2023-10-02,대형 세단,Accent (HC),False,2024-10-27,19242126,신용카드,2,오프라인,2021-12,중남미,3
Ana Lopez,1970-09-14,55,여,(791)225-1575,vieracamilo@tirado-serrano.org,"Andador Hinojosa 109 792, Vieja Congo, PUE 04093-3732",japonte,2022-04-16,준대형 세단,K2,False,2024-06-13,63960012,계좌이체,1,오프라인,2023-10,중남미,0
Ricardo Lopez,1976-04-04,49,여,(723)885-6566x5486,ceballosvictor@gamboa.com,"Viaducto Hernádez 916 Edif. 858 , Depto. 416, San Uriel de la Montaña, COL 39931-9733",santillankarla,2024-05-30,중형 세단,K4,False,2025-01-24,52271604,신용카드,1,온라인,2019-02,중남미,0
Maria Castro,1980-09-05,45,남,777.042.5199x5290,peralessamuel@perez-lucio.com,"Circunvalación Mejía 873 651, San Nelly los bajos, NL 45920",bernabeguillen,2023-06-29,준중형 세단,Optima / K5,False,2024-09-03,55412011,계좌이체,1,오프라인,2023-09,중남미,0
Ana Silva,1974-08-06,51,남,+24(6)3383280287,esther94@caraballo-quintanilla.com,"Privada Norte Muro 758 Edif. 628 , Depto. 574, Nueva Botswana, CHIH 47896-1053",valonso,2024-04-28,준대형 SUV,Sportage,False,2024-08-16,27377309,계좌이체,1,온라인,2018-10,중남미,3
Fernanda Castro,1977-03-06,48,남,989.980.9075,eva31@vanegas-vela.net,"Diagonal Distrito Federal 159 Edif. 336 , Depto. 883, Nueva Suriname, CHIS 06416-6813",minerva63,2022-07-20,픽업트럭,K2,False,2023-01-12,44303182,현금,1,온라인,2021-02,중남미,3
Carlos Reyes,1994-03-18,31,남,1-218-316-0887x4535,buribe@industrias.com,"Diagonal Micronesia 503 Edif. 558 , Depto. 890, San Esteban de la Montaña, GTO 57597-4887",czaragoza,2022-06-06,준대형 세단,Sorento,False,2023-09-24,38052048,신용카드,3,오프라인,2022-05,중남미,2
Ricardo Castro,1976-09-25,49,남,(024)458-9023,cedillogabriel@gmail.com,"Periférico Rosas 878 Edif. 592 , Depto. 868, San Miguel los altos, CHIH 91696-8015",benito01,2024-12-11,중형 세단,Sportage,False,2024-12-30,39316639,계좌이체,1,온라인,2018-01,중남미,3
Camila Hernandez,1982-09-15,43,남,(252)640-5179x58921,lnavarro@cordero-cardenas.biz,"Continuación Sur Rael 664 Interior 007, Nueva Eslovaquia, GTO 58572",noeliamaya,2025-01-09,준중형 세단,Seltos,False,2025-03-09,32631835,현금,1,온라인,2021-07,중남미,3
Gabriela Castro,1997-04-22,28,여,02157855048,lopezsergio@hotmail.com,"Retorno López 169 217, San Judith los bajos, TLAX 17593-0061",isalinas,2024-12-28,중형 세단,Sonet,False,2025-02-25,20867676,계좌이체,5,온라인,2022-12,중남미,2
Fernanda Lopez,1983-05-11,42,남,(451)703-0368,felipeybarra@gmail.com,"Calzada Baja California Sur 313 487, San Dolores de la Montaña, ZAC 99352-4143",aida10,2023-07-17,준대형 SUV,Carnival,False,2024-12-22,29102176,계좌이체,2,오프라인,2021-01,중남미,3
Pedro Castro,1999-09-01,26,여,+74(4)8801927637,perlacortez@yahoo.com,"Circuito Uzbekistán 145 Edif. 299 , Depto. 991, San Elena de la Montaña, CAMP 06388-6984",kmayorga,2023-09-13,중형 SUV,Carens MPV,False,2023-11-19,47868689,현금,3,오프라인,2019-02,중남미,1
Ricardo Rojas,1999-02-04,26,여,561-403-5440x600,dulce-mariamunguia@hotmail.com,"Retorno Norte Barrientos 106 983, San Martha los bajos, MICH 83412-7083",joaquin73,2022-04-11,대형 SUV,Forte,False,2024-03-06,66329910,신용카드,3,오프라인,2018-09,중남미,1
Carlos Torres,1971-04-16,54,여,00252965738,zeferinoestevez@yahoo.com,"Ampliación Japón 465 784, San Julio César los altos, SIN 71312",amanda13,2023-01-08,대형 SUV,Carnival (CKD),False,2024-09-15,19566078,계좌이체,4,온라인,2022-04,중남미,2
Maria Torres,1987-09-04,38,남,733.978.5037,fabiolaguerrero@yahoo.com,"Andador Palau 750 Interior 193, Vieja Honduras, JAL 59153-2763",marco-antonio85,2022-07-29,소형 해치백,Optima / K5,False,2023-09-25,28853459,현금,1,온라인,2022-03,중남미,3
Luis Morales,1973-05-23,52,여,1-704-855-1313,lucasolivares@gmail.com,"Periférico Nayarit 775 Interior 029, San Jerónimo los altos, AGS 11181",alicia52,2024-07-18,대형 세단,Rio(pride),False,2024-11-25,22491992,현금,1,온라인,2021-05,중남미,3
Gabriela Rodriguez,1979-10-27,46,남,082.107.9108x77980,ivan63@yahoo.com,"Callejón Sur Ballesteros 930 633, San Soledad de la Montaña, TAMPS 22274",augustorojas,2024-08-06,준중형 SUV,EV5,True,2024-10-15,57874771,신용카드,3,온라인,2020-06,중남미,1
Gabriela Morales,1996-02-09,29,남,1-105-018-3255x121,amandasarabia@grupo.com,"Eje vial Francia 400 174, Vieja Santo Tomé y Príncipe, CHIS 47383-3367",ramirezluis,2022-12-07,중형 세단,Tucson(NX4),False,2025-02-18,58705416,계좌이체,1,온라인,2019-01,중남미,0
Ricardo Morales,1965-06-19,60,여,(995)605-2440x84771,collazomaria@saldivar-valdez.net,"Privada Sur Casárez 490 Interior 248, Vieja Lesotho, QRO 67630",tde-anda,2024-07-20,준대형 SUV,C'eed,False,2025-01-11,43697280,신용카드,1,오프라인,2019-09,중남미,3
Ana Hernandez,1973-01-16,52,여,1-573-182-9131x338,rangelrebeca@gmail.com,"Calle Sur de Anda 544 639, San Víctor de la Montaña, DF 69197-6963",abelardoecheverria,2023-06-21,준중형 해치백,Syros,False,2023-08-31,19393585,계좌이체,1,오프라인,2020-09,중남미,3
Luis Rodriguez,1985-08-13,40,여,1-984-496-7948x47167,qvega@yahoo.com,"Viaducto Michoacán de Ocampo 098 Edif. 890 , Depto. 815, San Amelia los altos, SIN 03356-2640",rebeca55,2022-08-18,소형 해치백,Sonet,False,2023-11-25,33316577,신용카드,2,오프라인,2020-08,중남미,3
Gabriela Reyes,1989-03-08,36,여,1-228-160-5960x526,penarosa@yahoo.com,"Diagonal Norte Garay 481 247, San Luis de la Montaña, PUE 20651",maria-cristina20,2023-01-04,준중형 세단,Sonet,False,2024-01-29,21704007,신용카드,3,오프라인,2021-09,중남미,2
Jorge Rojas,1971-12-15,54,남,905.362.6396x38569,veronica36@corporacin.com,"Boulevard Cardenas 078 Interior 211, San Lucía los bajos, MICH 06752-4750",lbarrios,2024-11-13,준대형 SUV,EV9,True,2025-02-07,66296191,현금,2,오프라인,2019-02,중남미,0
Ana Castro,1975-08-12,50,남,887.132.2875,urielsevilla@hotmail.com,"Diagonal Veracruz de Ignacio de la Llave 182 Interior 943, Vieja Armenia, NAY 83917-3008",rmejia,2024-04-19,소형 해치백,Pegas,False,2024-11-17,35492546,신용카드,4,오프라인,2018-09,중남미,2
Carlos Rojas,1995-10-29,30,남,1-704-157-4299x4321,operea@hotmail.com,"Calzada Sur Rosas 937 073, San Rafaél los bajos, TAB 58499-0097",rosa93,2024-02-14,준대형 SUV,C'eed,False,2024-11-08,55994151,계좌이체,1,온라인,2019-09,중남미,0
Luis Morales,1994-09-07,31,남,1-270-855-3166x5043,paola46@yahoo.com,"Pasaje Sur Pantoja 302 482, Nueva Togo, GRO 27257",daniel26,2022-12-31,준중형 해치백,Carens MPV,False,2024-04-29,46636515,계좌이체,1,온라인,2020-11,중남미,0
Maria Castro,1985-10-18,40,여,(831)522-9301,yzapata@caldera-luna.com,"Calle Longoria 866 Edif. 800 , Depto. 156, Nueva Ghana, JAL 70143-8920",gustavo63,2023-08-08,대형 세단,KX7,False,2024-09-27,29743178,신용카드,4,오프라인,2018-10,중남미,2
Camila Reyes,1986-12-04,39,여,110-179-9207,montoyaminerva@yahoo.com,"Calzada México 565 732, San Julio de la Montaña, CHIH 88452",overdugo,2023-03-24,중형 SUV,Forte,False,2023-09-15,47153255,계좌이체,4,오프라인,2021-06,중남미,1
Ricardo Gonzalez,1998-04-22,27,남,472.697.0727x9087,vanesaescobedo@ocampo-zepeda.info,"Privada Sur Serrano 655 Edif. 899 , Depto. 135, San Leonel los altos, SON 22897-5339",jvalentin,2024-01-19,대형 세단,K5,False,2024-03-06,56771455,계좌이체,1,오프라인,2023-08,중남미,0
Gabriela Gonzalez,1968-10-13,57,남,+25(6)9829976997,manuel89@estrada.info,"Continuación Negrete 083 Interior 484, Nueva Libia, DF 54447-9289",kaguayo,2022-12-16,대형 SUV,Zhipao,False,2024-09-03,65063569,현금,1,온라인,2022-07,중남미,0
Ana Rodriguez,1999-10-11,26,남,1-812-118-5885x3392,vtoro@yahoo.com,"Viaducto Distrito Federal 630 Interior 800, Nueva Federación de Rusia, CHIH 74126",aguirreserafin,2022-08-17,대형 SUV,KX5,False,2022-11-07,55000322,계좌이체,1,온라인,2022-04,중남미,0
Jorge Rodriguez,1979-06-14,46,여,02807299447,lcuellar@yahoo.com,"Peatonal Olmos 863 186, Vieja Islas Marshall, SLP 47060-7805",abigail71,2022-12-17,준중형 해치백,KX7,False,2025-03-08,20794833,계좌이체,3,오프라인,2018-09,중남미,2
Ricardo Torres,1997-05-17,28,여,1-011-762-1588x7314,gomezfelix@gmail.com,"Corredor Croacia 532 Edif. 208 , Depto. 127, San Samuel los altos, MICH 90011",nellyjimenez,2022-06-23,대형 세단,Sportage,False,2022-11-22,60353817,신용카드,2,온라인,2022-10,중남미,0
Maria Rojas,1997-12-20,28,여,344-677-9526,karinasegura@matias-irizarry.com,"Prolongación Peña 880 Edif. 491 , Depto. 981, San Abelardo los altos, BC 59197",xaguilera,2024-02-28,준대형 세단,Cerato,False,2024-10-16,21832942,신용카드,1,온라인,2018-12,중남미,3
Gabriela Rojas,1982-09-11,43,남,478.217.3891,josefina05@yahoo.com,"Calle Lemus 642 Interior 859, San Claudio los altos, QRO 92420",longoriacristian,2025-01-24,픽업트럭,Pegas,False,2025-03-26,22805941,신용카드,6,온라인,2023-06,중남미,2
Jorge Castro,1987-12-03,38,남,(432)991-3780x7722,bianca46@gmail.com,"Periférico Norte Mayorga 305 Edif. 069 , Depto. 987, San Olga los altos, PUE 57249",jose-emiliovallejo,2024-05-22,중형 SUV,Seltos,False,2024-11-20,42025480,계좌이체,2,온라인,2018-01,중남미,3
Jorge Reyes,1992-08-31,33,여,006-964-6901,geronimo23@hotmail.com,"Viaducto López 551 051, San Micaela los bajos, YUC 12358-7662",larteaga,2022-08-10,소형 해치백,Optima / K5,False,2022-12-18,43416719,현금,1,오프라인,2023-08,중남미,3
Fernanda Reyes,1993-08-05,32,여,236.253.7863,hballesteros@proyectos.net,"Cerrada Suecia 231 Edif. 649 , Depto. 586, San Renato de la Montaña, ZAC 58030",ucabrera,2023-06-25,준대형 SUV,Tucson(NX4),False,2024-05-14,28641031,계좌이체,1,온라인,2022-03,중남미,3
Maria Reyes,1967-01-13,58,남,00995872441,guerrarenato@gomez.com,"Boulevard Sinaloa 146 Edif. 910 , Depto. 764, Nueva Liechtenstein, JAL 42438",taniacordova,2023-05-05,중형 SUV,Seltos,False,2024-11-11,37192594,신용카드,1,오프라인,2021-08,중남미,3
Pedro Rodriguez,1983-01-18,42,남,(951)538-4102,zaragozamauricio@yahoo.com,"Diagonal Partida 431 Interior 130, San Evelio los bajos, YUC 01942-2852",alejandromarquez,2023-02-05,대형 세단,EV6,True,2024-02-02,36211191,신용카드,1,온라인,2022-07,중남미,3
Pedro Reyes,1964-10-23,61,여,062-305-0478x27734,ufernandez@hotmail.com,"Calle Tamaulipas 499 Interior 883, San Aurora los altos, CHIH 73766-0625",maria-josesalazar,2022-12-04,준중형 세단,K4,False,2024-02-21,37096428,계좌이체,3,온라인,2021-10,중남미,2
Ricardo Rodriguez,1985-12-05,40,남,1-441-539-6608x604,bermudezrafael@yahoo.com,"Privada Norte Esquivel 894 Interior 561, Nueva Guinea Bissau, HGO 67550",victoriacarbajal,2022-04-01,대형 세단,EV9,True,2024-11-06,36281016,현금,2,온라인,2018-04,중남미,3
Maria Silva,1977-10-27,48,남,882-956-3797x3678,vigillilia@grupo.com,"Callejón Menéndez 404 444, Vieja Canadá, COL 12596",kregalado,2023-09-30,준중형 세단,EV9,True,2024-08-14,55947347,신용카드,1,온라인,2022-04,중남미,0
Luis Hernandez,1970-11-30,55,여,03935301936,ricardomerino@narvaez.net,"Boulevard Sur Quezada 514 Interior 924, Nueva Bangladesh, TAB 04181",lilianapalomo,2022-11-09,준중형 세단,Forte,False,2023-01-02,67027579,현금,5,온라인,2019-05,중남미,1
Luis Silva,1992-02-14,33,남,610-201-1745x188,marisela73@baeza-caraballo.com,"Ampliación Godoy 859 737, Vieja Burundi, GRO 55519-5132",veronicacepeda,2024-01-14,중형 세단,Seltos,False,2024-12-14,38000949,현금,1,온라인,2021-06,중남미,3
Jorge Rojas,1986-11-29,39,남,+98(0)1705694904,xtrevino@hotmail.com,"Circuito Gaitán 120 Interior 045, Vieja Pakistán, GRO 36568-5869",qhidalgo,2023-03-21,대형 SUV,C'eed,False,2023-04-12,31662603,신용카드,1,오프라인,2023-09,중남미,3
Luis Rodriguez,1974-06-16,51,여,1-891-174-5618x512,frida04@proyectos.info,"Circunvalación Coahuila de Zaragoza 214 607, San Ramiro de la Montaña, NL 93957",margarita65,2022-04-03,대형 SUV,Sportage,False,2023-09-13,59577918,현금,1,온라인,2019-07,중남미,0
Gabriela Torres,1984-07-01,41,남,674.453.1386x782,rdominguez@valenzuela.com,"Andador Puebla 171 Edif. 757 , Depto. 322, Vieja Burkina Faso, HGO 42002",rguerra,2023-06-16,준중형 SUV,Carnival,False,2024-12-27,68571362,계좌이체,1,온라인,2021-11,중남미,0
Luis Silva,1964-08-10,61,여,1-627-562-9522,rubengaribay@gmail.com,"Continuación Durango 082 Edif. 607 , Depto. 598, Vieja Sudán, JAL 16012",adela36,2022-06-23,준대형 세단,KX3,False,2023-04-24,26113838,계좌이체,1,온라인,2018-08,중남미,3
Ana Gonzalez,1992-10-23,33,남,+82(7)8157584987,susana28@gmail.com,"Retorno Zayas 389 Edif. 635 , Depto. 523, Nueva Fiji, QRO 26850-3850",gabriel86,2025-01-08,준대형 세단,Sonet,False,2025-01-12,43702370,계좌이체,4,온라인,2021-06,중남미,1
Carlos Rojas,1971-06-19,54,여,+16(3)2900042199,farenas@grupo.com,"Circuito Coronado 621 402, San Reynaldo los altos, MICH 21711-5223",elizondopablo,2025-01-05,중형 SUV,Tucson(NX4),False,2025-03-26,56230031,신용카드,1,오프라인,2019-07,중남미,0
Camila Rodriguez,1984-03-20,41,여,05277655925,gabrielade-anda@jaramillo-rael.org,"Callejón Norte Véliz 989 618, San Itzel de la Montaña, GRO 70262",ignacio85,2022-10-16,준중형 SUV,K5,False,2023-06-05,54023118,현금,1,오프라인,2023-09,중남미,0
Camila Castro,1984-04-23,41,남,(316)720-8388x84610,dulcepalomo@hotmail.com,"Ampliación Tabasco 942 Interior 505, San Juan los altos, DGO 55933-8419",hde-jesus,2024-10-30,중형 SUV,K3,False,2025-02-06,24578199,현금,1,오프라인,2021-10,중남미,3
Carlos Castro,1987-10-14,38,여,155.388.4697x53847,kmondragon@club.com,"Peatonal Olvera 586 504, San Ana Luisa los altos, TLAX 84010",urocha,2025-03-28,대형 SUV,Tucson(NX4),False,2025-03-29,68081932,계좌이체,2,오프라인,2019-07,중남미,0
Maria Gonzalez,1982-11-11,43,남,540-560-2018x73285,porfirio09@gmail.com,"Corredor Garibay 650 Interior 324, Nueva Arabia Saudita, YUC 30885",timoteo23,2024-12-12,소형 해치백,K5,False,2025-02-10,47117894,계좌이체,1,오프라인,2023-05,중남미,0
Gabriela Morales,1999-06-25,26,여,837.638.9560x8973,guillermo77@yahoo.com,"Avenida Apodaca 439 Edif. 901 , Depto. 635, San Jesús de la Montaña, MOR 00253-0095",alfredo34,2023-07-19,준대형 SUV,EV5,True,2024-11-11,63710885,현금,3,오프라인,2018-04,중남미,1
Fernanda Rodriguez,1968-11-19,57,여,954.017.7495x03544,esparta05@espinal-melendez.com,"Circuito Sur Alvarez 938 Edif. 755 , Depto. 986, Vieja Tayikistán, SON 43067-3875",cordovamateo,2024-07-26,소형 해치백,Forte,False,2025-01-12,67709043,신용카드,1,오프라인,2021-05,중남미,0
Luis Gonzalez,1977-05-16,48,남,218-481-7745x584,pereajose-maria@roybal-guajardo.com,"Callejón Bélgica 914 Edif. 315 , Depto. 097, Vieja Bulgaria, BCS 02349",josearevalo,2024-11-05,준중형 해치백,Sportage,False,2025-03-19,50488085,현금,4,오프라인,2021-07,중남미,1
Pedro Torres,1991-08-26,34,남,08303862898,cristobaltovar@proyectos.net,"Avenida Tailandia 241 910, Nueva Camerún, Q. ROO 63345",hectorelizondo,2024-12-20,중형 SUV,Sonet,False,2025-01-10,38550642,신용카드,3,온라인,2022-01,중남미,2
Pedro Lopez,1965-07-16,60,남,589.119.8310,munguiaconchita@almonte.com,"Andador Oaxaca 807 554, Vieja Seychelles, SLP 86445-2646",alberto72,2023-02-15,대형 세단,Pegas,False,2023-04-26,55612601,현금,1,오프라인,2018-03,중남미,0
Carlos Gonzalez,1981-03-27,44,여,191-628-8448,minerva53@luna-uribe.com,"Diagonal Canadá 332 961, Nueva Alemania, DF 79064",mfranco,2023-08-07,준중형 해치백,KX3,False,2025-02-11,42592483,계좌이체,4,온라인,2023-05,중남미,2
Pedro Castro,2000-03-27,25,남,+08(1)7441170723,karina66@industrias.org,"Periférico Nayarit 417 650, Vieja Angola, GTO 93051",marthabarragan,2024-10-20,대형 세단,Accent (HC),False,2025-01-30,60395671,현금,1,오프라인,2023-09,중남미,0
Camila Castro,1969-07-16,56,남,+98(4)4652488265,gilbertogallardo@malave.biz,"Calle San Luis Potosí 910 Interior 352, San Yeni de la Montaña, SLP 47995-8185",carrerodalia,2022-04-30,소형 해치백,K2,False,2024-07-23,42704952,현금,5,온라인,2023-12,중남미,1
Maria Silva,1978-04-08,47,여,921-163-4701x6541,cesar93@gallardo.biz,"Ampliación Burkina Faso 111 Interior 094, Vieja Madagascar, YUC 86490-7961",amelia42,2024-12-30,준중형 SUV,Optima / K5,False,2025-01-08,64508044,계좌이체,4,오프라인,2020-08,중남미,1
Maria Gonzalez,1970-07-09,55,여,(334)016-6331x393,zesquibel@saldivar-velasquez.net,"Corredor Qatar 448 Interior 531, Vieja Barbados, ZAC 91648-9704",umaestas,2022-04-28,대형 SUV,Forte,False,2022-07-20,58414117,신용카드,1,온라인,2018-01,중남미,0
Pedro Reyes,1972-01-30,53,여,491.337.0947x26216,mirelesmayte@perez.info,"Continuación Chiapas 649 301, San Silvia los altos, NL 29672-4347",bonillahoracio,2024-11-05,소형 해치백,K3,False,2024-12-08,56541099,계좌이체,4,온라인,2018-03,중남미,1
Gabriela Gonzalez,1994-11-11,31,남,1-102-697-4289x0669,lilia36@grupo.org,"Pasaje Sur Mata 606 Interior 700, Nueva Tailandia, BC 24318",arceadela,2024-11-06,준대형 세단,K5,False,2025-02-12,63941836,현금,1,오프라인,2021-02,중남미,0
Ana Reyes,1975-03-16,50,남,533.436.5947x02816,juan-carlosmeraz@pizarro-rios.org,"Eje vial San Luis Potosí 494 Interior 528, Vieja Zimbabwe, CAMP 36780",danielrivero,2023-01-22,대형 세단,EV5,True,2024-08-07,55563825,신용카드,1,오프라인,2021-07,중남미,0
Pedro Lopez,1987-09-10,38,여,(797)729-8987x2569,amadrigal@guillen.com,"Calzada Zacatecas 858 393, Nueva Hungría, AGS 60737",vbetancourt,2022-06-13,대형 세단,K2,False,2024-02-07,62532116,신용카드,2,온라인,2019-11,중남미,0
Maria Hernandez,1969-03-30,56,남,806.490.0288,mfajardo@proyectos.com,"Avenida Tamaulipas 236 528, Nueva Etiopía, PUE 57445-8257",david37,2024-03-01,준중형 해치백,Tucson(NX4),False,2024-07-20,27620615,현금,1,온라인,2022-03,중남미,3
Fernanda Lopez,1966-05-03,59,여,393-453-0395,julio87@carreon.com,"Circuito Jalisco 665 819, Nueva Yemen, AGS 67216-2568",marisela88,2023-05-05,준중형 해치백,Seltos,False,2023-10-15,30057591,계좌이체,2,오프라인,2020-05,중남미,3
Maria Torres,1984-07-26,41,여,1-585-080-8610x572,clemente84@yahoo.com,"Continuación Norte Gil 105 Edif. 106 , Depto. 568, San Sonia los bajos, MICH 26559",enriquecaraballo,2022-10-24,대형 세단,Seltos,False,2023-11-10,30806994,신용카드,4,온라인,2021-11,중남미,2
Maria Rojas,1972-06-17,53,여,523.005.1665x23431,vmojica@yahoo.com,"Circunvalación Norte Ortega 431 435, San Adela de la Montaña, MOR 14625",german12,2024-05-17,준중형 해치백,EV6,True,2024-05-27,36018619,계좌이체,2,온라인,2020-10,중남미,3
Maria Lopez,1983-01-06,42,남,305.534.0094x6748,bernabe14@reyes-negrete.com,"Corredor Rentería 606 Interior 780, Nueva Dominicana, MOR 53072-2995",clemente15,2024-02-21,준중형 해치백,K5,False,2024-07-03,20083136,신용카드,2,온라인,2021-04,중남미,3
Gabriela Rodriguez,1980-02-09,45,남,04889755596,esparzaperla@hotmail.com,"Diagonal Aguascalientes 569 Edif. 202 , Depto. 835, Vieja Kuwait, YUC 66731-5841",rcamarillo,2024-03-21,준대형 SUV,Sportage,False,2024-11-14,45803540,신용카드,1,온라인,2022-04,중남미,0
Camila Silva,1990-03-09,35,여,(519)907-6515x2035,laurasotelo@anaya.net,"Circuito Sur Casillas 589 270, Vieja Rwanda, DGO 92902",ilse07,2023-11-13,중형 SUV,KX7,False,2024-03-31,19520671,신용카드,3,오프라인,2018-11,중남미,2
Fernanda Torres,1984-02-04,41,남,(644)998-1595x1774,amelia21@banuelos.biz,"Callejón Estonia 863 Interior 415, Nueva Eslovaquia, TAB 41714-4859",riveroangel,2023-04-14,소형 해치백,Cerato,False,2024-06-22,50295549,신용카드,2,온라인,2021-09,중남미,0
Ana Rodriguez,1981-04-06,44,여,1-684-586-1624,pedrosegovia@hotmail.com,"Viaducto Heredia 981 Interior 895, Nueva Eslovenia, SON 39796-0086",ruizofelia,2022-05-21,중형 세단,EV6,True,2023-08-14,30184270,현금,2,온라인,2023-08,중남미,3
Maria Hernandez,1966-09-10,59,남,1-326-312-5177,yuridiapalomo@yahoo.com,"Privada Vaca 085 Interior 424, Nueva Chipre, GRO 31542-1258",zavalos,2023-08-15,준중형 세단,Carnival,False,2024-08-08,21001183,계좌이체,2,오프라인,2021-06,중남미,3
Carlos Castro,1967-10-30,58,여,(445)209-8148,gustavo80@alba-arreola.org,"Periférico Norte Alejandro 293 Interior 541, Vieja Estonia, TLAX 08822",marisela46,2023-07-30,중형 세단,KX3,False,2024-12-08,52798244,계좌이체,2,오프라인,2023-09,중남미,0
Pedro Morales,1983-02-17,42,여,480-634-4680x23407,liliaquezada@proyectos.com,"Circunvalación Mata 097 Edif. 078 , Depto. 248, Vieja República Democrática Popular Lao, NL 11164-9649",ursula89,2025-02-06,준중형 해치백,Tucson(NX4),False,2025-03-23,44391809,현금,1,오프라인,2019-05,중남미,3
Ana Rodriguez,1967-01-20,58,여,649.654.5900x0807,amalia15@corporacin.com,"Periférico Sur Villagómez 909 071, San Aldo de la Montaña, BC 80133",mateosoliz,2022-04-23,준대형 SUV,Telluride,False,2024-11-23,28714578,계좌이체,1,오프라인,2021-03,중남미,3
Camila Torres,1972-01-10,53,여,09148837735,nbatista@yahoo.com,"Privada Sur Bétancourt 069 Edif. 088 , Depto. 403, San Indira de la Montaña, SLP 62354-6795",paolafigueroa,2024-02-14,준대형 SUV,Forte,False,2025-03-06,28978909,현금,3,오프라인,2020-01,중남미,2
Pedro Castro,1973-02-09,52,남,957.405.7937x60288,claudia98@gmail.com,"Diagonal Coahuila de Zaragoza 122 Interior 580, San Yeni los altos, MOR 11055-9672",qtellez,2022-07-29,대형 SUV,Pegas,False,2024-10-28,35068624,계좌이체,1,온라인,2018-06,중남미,3
Pedro Morales,1988-11-21,37,여,788-632-1623x926,wescalante@yahoo.com,"Periférico Bahamas 744 Interior 214, San Alvaro los bajos, TLAX 76441-5079",nicolas53,2022-11-10,중형 SUV,Telluride,False,2024-09-17,46581939,계좌이체,2,온라인,2022-06,중남미,0
Jorge Castro,1990-07-13,35,여,528-716-9444,rufino87@granado.net,"Boulevard Farías 451 Edif. 302 , Depto. 999, Nueva Arabia Saudita, JAL 20956-2505",onavarrete,2022-11-06,중형 SUV,KX3,False,2023-05-03,28372491,계좌이체,1,오프라인,2019-04,중남미,3
Ana Rojas,1982-01-04,43,여,1-742-106-6467x6376,xorellana@prieto.org,"Calle Coronado 258 Edif. 852 , Depto. 384, Vieja Turquía, NL 98474-0180",hparedes,2022-09-24,대형 세단,Optima / K5,False,2023-09-15,19524710,계좌이체,1,오프라인,2019-06,중남미,3
Jorge Silva,1965-07-28,60,여,1-103-561-4949x23611,yruelas@yahoo.com,"Avenida Estados Unidos de América 341 Edif. 170 , Depto. 272, Vieja Vanuatu, Q. ROO 32868-7177",ana-luisa24,2024-05-24,준대형 SUV,K2,False,2024-08-07,20552263,계좌이체,1,오프라인,2020-10,중남미,3
Gabriela Hernandez,1972-02-02,53,남,061-559-8928,wrobledo@laboratorios.com,"Avenida Puebla 927 541, Vieja Niger, Q. ROO 88346-2580",bruno91,2022-07-15,중형 SUV,EV5,True,2023-01-04,60374355,계좌이체,2,온라인,2023-08,중남미,0
Camila Rojas,1991-07-28,34,여,802-812-5954x2504,guadalupe26@despacho.com,"Circuito Vergara 795 Interior 343, Nueva Kuwait, SON 60452-3692",oscarcuellar,2022-12-11,중형 SUV,K3,False,2023-02-05,23888449,현금,1,오프라인,2018-09,중남미,3
Camila Rojas,1989-07-15,36,남,+25(8)0289468305,ntejada@proyectos.biz,"Circuito Norte Leiva 665 Edif. 935 , Depto. 238, San Mauricio los altos, CHIS 12270",camarilloreina,2022-10-31,대형 세단,C'eed CUV,False,2023-10-15,20959330,현금,1,오프라인,2021-10,중남미,3
