이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래방식,제품구매빈도,제품구매경로,제품출시년월,국가,고객 세그먼트,Cluster
Chloe Harris,1995-07-29,30,여,1 (692) 822-3312,wjimenez@gmail.com,"1627 Susan Green Apt. 342, Delgadofort, NB J4N 8V5",rebekahgarcia,2023-07-24,픽업트럭,Kona,True,2025-02-04,46600000,계좌이체,1,오프라인,2022-02,캐나다,0,0
Noah Stewart,1974-07-11,51,남,294-207-9374,tjones@hotmail.com,"0592 Perez Ways, Port Katiestad, NT V5K3R8",stevenbailey,2022-11-17,대형 SUV,Tucson,False,2023-10-28,46570000,계좌이체,1,온라인,2021-07,캐나다,0,0
Lucas Lee,1999-09-02,26,여,261.292.1351,dianawilliams@alvarez.com,"6948 Dawson Wells, East Jasonberg, MB H8B 4Y9",olivia70,2024-09-10,중형 SUV,i20,False,2025-01-06,19300000,현금,1,온라인,2020-05,캐나다,0,0
Olivia Harris,1978-05-06,47,여,837.085.8783,perezvanessa@cabrera-yang.com,"080 Sean Landing Apt. 931, Kirbyport, NL Y8A 5J8",amydavis,2023-02-18,중형 세단,G80,False,2024-01-29,89400000,신용카드,1,온라인,2021-05,캐나다,1,2
Grace Lee,1968-05-30,57,남,1-894-624-5540,smithrobin@yahoo.com,"48118 Elizabeth Valleys, New Denise, NB B5G8Y8",suzannerobertson,2023-10-02,준중형 세단,Tucson,False,2024-03-20,41390000,현금,3,오프라인,2021-07,캐나다,3,3
Lucas Stewart,1995-11-09,30,여,156.415.3307,fbutler@gmail.com,"11916 Yolanda Ramp, Matthewbury, AB V4J 5E1",tonydean,2024-03-24,대형 SUV,Ioniq 6,True,2024-03-27,89200000,계좌이체,1,오프라인,2023-01,캐나다,1,1
Olivia Robinson,1978-11-14,47,여,993-061-8920 x045,woodslindsay@white-nelson.com,"8473 Michael Turnpike Suite 065, New Donna, AB K2R3T1",vhatfield,2022-05-23,준중형 SUV,Ioniq 6,True,2025-01-12,74220000,현금,2,오프라인,2023-01,캐나다,1,2
Chloe Robinson,1987-10-06,38,여,989-035-5081 x996,marc57@hotmail.com,"4205 Brown Roads Suite 155, Washingtonview, AB B8E 6R4",middletonandrew,2023-03-14,중형 세단,NEXO,True,2025-01-28,65570000,현금,1,오프라인,2018-03,캐나다,1,1
Emma Harris,1981-10-08,44,여,240.580.6709,stephanie54@hotmail.com,"00400 Reeves Glens, Johnathanmouth, NS M6Y 3T6",jsmith,2024-09-18,대형 SUV,Elantra,False,2025-01-13,40880000,계좌이체,2,오프라인,2020-08,캐나다,0,0
Benjamin Lee,1973-11-27,52,여,1-966-257-6013,vmorrison@davis.com,"5250 Micheal Isle, West Johnmouth, AB C2V7L5",eavery,2025-01-21,준대형 세단,Santa Fe,False,2025-02-27,35560000,현금,3,온라인,2020-10,캐나다,3,3
Grace Robinson,1977-01-31,48,남,103.231.9767,kyle61@hicks-knapp.com,"5892 Vega Corner Apt. 281, Port Laurenbury, NU L3L 8V6",robbinsjoseph,2023-07-09,중형 세단,Elantra,False,2024-08-23,45190000,현금,2,온라인,2020-08,캐나다,2,5
Benjamin Walker,1985-01-19,40,남,309-465-8463,pcastro@yahoo.com,"7649 Schaefer Mission Apt. 534, West Daniel, BC E9S8G5",dgraham,2024-01-31,픽업트럭,Sorento,False,2024-12-26,69190000,현금,1,오프라인,2021-04,캐나다,1,1
Emma Thompson,1991-06-26,34,여,591-919-3526,barbara93@west.info,"7591 Courtney Vista Suite 396, Williamsport, NL V5V1E6",dsingleton,2022-06-25,준중형 해치백,EV6,True,2023-01-20,73950000,현금,1,오프라인,2022-05,캐나다,1,1
Lucas Thompson,1989-02-04,36,남,915-544-9409,iburnett@yahoo.com,"4484 Rogers Junction, Myerschester, NB N1L 6H1",stephanie07,2022-12-05,중형 SUV,EV6,True,2024-12-04,89270000,현금,3,오프라인,2022-05,캐나다,1,1
Lucas Walker,1996-03-28,29,여,182 769 5887,jillbrewer@yahoo.com,"66980 Kimberly Mews, Josephburgh, QC J1P8B7",reynoldsjeffrey,2024-05-09,대형 세단,Ioniq 6,True,2025-03-08,78680000,현금,4,오프라인,2023-01,캐나다,3,4
Benjamin Walker,1996-01-11,29,남,(442) 471-6491 x916,andrew72@yahoo.com,"16915 Austin Pines Apt. 798, East Brian, QC A4X 4C5",thomasstacey,2024-04-15,준대형 SUV,K5,False,2024-08-09,62650000,현금,1,온라인,2020-01,캐나다,1,1
Benjamin Lee,1980-01-05,45,여,269 249 4180,rebecca91@gmail.com,"4031 Amy Plaza Suite 914, Melendezshire, NT C4G 4A1",carrie66,2025-02-19,소형 해치백,NEXO,True,2025-03-12,66070000,신용카드,2,오프라인,2018-03,캐나다,1,2
Ava Scott,1981-07-08,44,남,339 438 3754,uallen@yahoo.com,"850 Alec Street Apt. 772, South Barbaraland, NS P6B 4N3",mramos,2022-11-12,중형 세단,Kona,True,2024-01-17,42210000,신용카드,1,온라인,2022-02,캐나다,2,5
James Thompson,1985-01-06,40,남,(537) 268-7793 x889,melissaponce@martin-freeman.com,"104 Scott Squares Apt. 969, Edwardsport, BC V9K1C3",mitchelljoseph,2025-03-29,중형 세단,Tucson,False,2025-03-29,36270000,현금,1,온라인,2021-07,캐나다,2,5
Ava Martin,1995-07-25,30,여,391.294.3370,samuel14@hotmail.com,"5019 Mitchell Circles, North Nicolemouth, ON P4R2T4",cbrown,2025-03-18,준대형 세단,Ioniq 6,True,2025-03-19,87760000,신용카드,2,온라인,2023-01,캐나다,1,1
Noah Lee,1995-08-18,30,여,1-193-175-6073,thorntonisabel@lewis-lewis.org,"01492 Moore Views, Port Erik, SK A2A4S9",scook,2024-10-08,중형 세단,NEXO,True,2024-12-29,62830000,현금,2,온라인,2018-03,캐나다,1,1
Noah Robinson,1991-08-30,34,여,825-143-5804,greerjennifer@mcknight.com,"53119 Carr Via, Brownberg, NU J8L7V7",boonejonathan,2024-05-19,픽업트럭,i20,False,2024-09-25,29960000,신용카드,1,오프라인,2020-05,캐나다,2,5
James Scott,1989-11-01,36,남,557 504 2246,qgarza@reese.info,"82771 Kevin Point Apt. 605, North Ashleymouth, NT B7Y8H9",ujefferson,2022-06-11,중형 세단,NEXO,True,2023-07-24,62420000,계좌이체,2,오프라인,2018-03,캐나다,1,1
Emma Martin,1982-09-04,43,여,1-114-429-4267,melanie15@perez.net,"8497 Kelly Glens, South Jessicahaven, BC G7A9T2",cvaldez,2024-01-26,중형 SUV,Sportage,False,2025-03-16,41010000,계좌이체,1,오프라인,2021-11,캐나다,0,0
Ava Thompson,1969-07-16,56,여,1-736-597-2397,vegalawrence@gmail.com,"0076 Christopher Village, Baileyville, SK A9T 5V3",terri57,2024-02-07,대형 세단,NEXO,True,2024-04-26,68190000,신용카드,2,온라인,2018-03,캐나다,1,2
Lucas Miller,1993-05-13,32,남,570-667-2192 x283,jamie92@cox.com,"336 Buck Harbors Apt. 891, Lake Kaylee, NT M9T9R1",thompsonkim,2023-09-13,준대형 SUV,Santa Fe,False,2024-07-23,48760000,계좌이체,5,오프라인,2020-10,캐나다,3,4
Lucas Young,1973-01-10,52,남,683-610-8802,connermelissa@hotmail.com,"637 Jeremy Landing, Christineville, NT R2T 7R7",tonisullivan,2023-09-21,소형 해치백,Avante,False,2024-11-14,19070000,계좌이체,2,오프라인,2020-09,캐나다,0,0
Chloe Robinson,1991-03-26,34,남,(360) 253-6873,gregorymarks@williams-dunn.com,"97873 Pruitt Viaduct Apt. 410, Lake Adamfurt, NT X4M1K1",ryan35,2025-01-03,준중형 해치백,G80,False,2025-03-13,71770000,현금,2,오프라인,2021-05,캐나다,1,1
Benjamin Harris,1992-06-04,33,여,689-706-4937,justin90@greer.com,"0278 Ernest Motorway Suite 451, North Gina, YT N9B 6E8",kent38,2024-05-28,대형 세단,Elantra,False,2025-03-24,40900000,신용카드,4,오프라인,2020-08,캐나다,3,4
James Martin,1964-04-05,61,여,(842) 740-6282 x850,leroy20@steele-hayden.com,"0135 Johnny Common Apt. 788, Chambersstad, AB E9J5E2",howardchristopher,2023-06-23,준대형 SUV,Grandeur,False,2023-09-10,63920000,신용카드,4,오프라인,2022-03,캐나다,3,3
Olivia Walker,1972-11-24,53,여,407-404-5156,thomasgraves@mueller.net,"87930 Emily Fall Apt. 906, West Robertchester, YT T5C 2G4",tharris,2024-11-11,준중형 세단,EV6,True,2024-11-27,88210000,신용카드,1,오프라인,2022-05,캐나다,1,2
Chloe Scott,1973-07-24,52,남,1 (781) 936-6943,tammybell@hotmail.com,"459 Watson Manor, West Anthonyside, PE E4M2R9",lwilliamson,2024-04-12,준대형 세단,Accent,False,2025-03-18,22210000,계좌이체,2,오프라인,2019-03,캐나다,0,0
Noah Young,1992-03-15,33,여,(430) 230-4233,stanleypaul@nguyen.com,"0043 Hickman Meadow, Tannerfort, QC R8B 6H8",mfarley,2024-01-02,준중형 SUV,Accent,False,2025-01-27,26530000,계좌이체,3,온라인,2019-03,캐나다,0,0
Ava Scott,1966-03-20,59,여,1 (437) 380-8823,mjohnson@weaver.info,"621 Anna Shore, Francofurt, NU X9C 7S1",graynicole,2023-12-10,중형 세단,Ioniq 6,True,2025-01-04,86650000,현금,1,오프라인,2023-01,캐나다,1,2
Noah Stewart,1999-11-16,26,남,527.904.2528,wesley06@hotmail.com,"224 Elizabeth Ridge Suite 970, North Blake, AB L9Y 6A5",rebekah78,2024-09-06,중형 세단,Venue,False,2024-09-23,20370000,현금,2,오프라인,2021-01,캐나다,0,0
Emma Young,1982-09-26,43,여,(233) 465-8672 x602,santiagowilliam@henderson.biz,"9974 Danielle Pines, Hardytown, SK T6X 4H8",martinezjessica,2024-06-24,대형 SUV,i20,False,2025-01-14,26080000,현금,4,오프라인,2020-05,캐나다,3,3
James Stewart,1998-01-12,27,여,441-557-8137,lori17@morgan.org,"31782 Perez Valley Apt. 597, Grahamton, ON A5T7X5",gallaghermartin,2024-02-26,준중형 세단,G80,False,2024-10-11,79740000,현금,1,오프라인,2021-05,캐나다,1,1
James Lee,1991-11-23,34,남,+1 (321) 997-8565,elizabeth42@yahoo.com,"7292 Virginia Estates Apt. 679, Bradleytown, BC L9E3K8",angelalambert,2024-06-24,준대형 SUV,GV70,False,2024-09-16,85640000,현금,6,오프라인,2022-08,캐나다,3,4
Liam Stewart,1980-05-06,45,남,738 986 2254,annabarry@gmail.com,"6574 Anita Inlet, South Denise, BC H8S4G6",hollandanthony,2022-07-28,준대형 세단,G80,False,2023-03-15,75770000,현금,3,온라인,2021-05,캐나다,1,2
Chloe Young,1993-05-14,32,남,+1 (246) 096-1490,harperrussell@davenport-watkins.com,"3001 Dyer Ways Suite 627, Michelleburgh, YT N6H 9G9",mparks,2022-06-26,준중형 세단,Elantra,False,2024-08-09,39350000,현금,1,온라인,2020-08,캐나다,2,5
James Miller,1977-09-27,48,여,116 656 9107,linlisa@gmail.com,"25006 Thompson Mount Suite 434, Kathrynchester, NT S6P 4B5",roneal,2023-05-14,대형 SUV,i20,False,2023-07-14,19040000,현금,2,온라인,2020-05,캐나다,0,0
Olivia Harris,1969-10-21,56,여,+1 (802) 859-5388,carol87@yahoo.com,"1552 Kathryn Causeway, South Sandraview, SK A8K 8G5",dawn43,2023-03-20,대형 SUV,Grandeur,False,2024-11-11,55020000,현금,2,오프라인,2022-03,캐나다,1,2
Lucas Miller,1974-02-22,51,남,1-857-867-4047,daisy64@castillo.net,"90671 Antonio Ports Suite 844, New William, PE C3R 2L3",rodneyhunter,2024-10-24,중형 세단,Sorento,False,2025-01-23,68750000,현금,1,오프라인,2021-04,캐나다,1,2
Lucas Lee,1967-09-02,58,남,248 910 5579,jeremy56@yahoo.com,"43440 Holt Passage, South Melissaborough, BC N6M 8K9",melody90,2024-04-03,중형 세단,GV70,False,2024-06-23,80140000,계좌이체,4,오프라인,2022-08,캐나다,3,3
James Martin,1972-08-25,53,여,282 111 2642,jonathan78@silva.info,"50709 Arroyo Stravenue Apt. 626, East Scott, MB J6G8S3",rosariotyler,2024-06-23,소형 해치백,K5,False,2024-07-13,56640000,신용카드,1,오프라인,2020-01,캐나다,2,5
Emma Young,1981-08-15,44,여,407-893-7987 x752,paultrujillo@hotmail.com,"4198 Tina Lake Suite 928, South Lindsey, SK E2S 6P6",timothycampbell,2024-07-22,준대형 SUV,K5,False,2025-01-29,57470000,계좌이체,1,온라인,2020-01,캐나다,1,2
Benjamin Harris,1970-12-22,55,여,1 (453) 331-7931,yrivera@gmail.com,"6502 Leah Unions, Port Bradleyfort, ON M8P1X1",david25,2023-03-19,준대형 SUV,Kona,True,2024-04-20,46710000,신용카드,4,오프라인,2022-02,캐나다,3,3
Chloe Martin,1967-11-18,58,남,+1 (431) 905-3769,rschultz@fletcher.com,"68975 Christopher Summit, Frankview, YT Y1V 8G6",umorrison,2022-08-28,준중형 세단,Accent,False,2023-12-23,28000000,신용카드,1,온라인,2019-03,캐나다,2,5
James Martin,1984-08-24,41,여,1-794-199-6459,elizabeth84@church.com,"157 Elizabeth Loop Suite 070, Emilyside, MB C4E2A9",bchavez,2024-04-09,대형 세단,Ioniq 6,True,2024-08-24,82840000,계좌이체,1,온라인,2023-01,캐나다,1,1
Benjamin Thompson,1971-06-03,54,여,1-745-661-9667,cortezbrian@young-cooley.com,"5576 Murray Manor, Coxmouth, NB V2V 1M6",hamiltonmark,2022-05-02,대형 SUV,Tucson,False,2022-12-23,33540000,현금,1,오프라인,2021-07,캐나다,2,5
Emma Martin,1980-08-31,45,여,(709) 462-1470,vsampson@atkinson.com,"42890 Fletcher Cliff Suite 293, New Leahfurt, BC B1V7E7",sandersbrian,2024-02-02,중형 SUV,Santa Fe,False,2025-01-24,41380000,현금,3,오프라인,2020-10,캐나다,3,3
Ava Lee,1968-03-03,57,남,1 (790) 411-7977,wheelertiffany@ramos-bradley.org,"749 Wilcox Wall, East Cassie, ON A9X 9V5",kchavez,2024-07-15,소형 해치백,EV6,True,2025-01-28,74750000,신용카드,3,온라인,2022-05,캐나다,1,2
Lucas Stewart,1998-08-05,27,남,743 759 6868,gdowns@mcmillan.com,"54759 Smith Valleys Apt. 367, Lake Diane, BC R2T5X1",rebeccawhite,2023-06-30,소형 해치백,Tucson,False,2025-02-03,44200000,계좌이체,1,온라인,2021-07,캐나다,0,0
Emma Walker,1991-11-09,34,남,1-591-371-6509,donnabrooks@ortiz.com,"915 William Club, South Lindsay, YT A1L 5T7",juan40,2023-09-21,준중형 해치백,GV70,False,2025-03-03,78710000,신용카드,1,오프라인,2022-08,캐나다,1,1
Lucas Harris,1968-08-30,57,여,1 (219) 394-2789,ryanwilkinson@brown.biz,"144 Roy Route Suite 611, Maloneberg, PE H8A1S9",petersonapril,2023-09-17,준중형 SUV,Elantra,False,2024-11-20,37690000,신용카드,1,오프라인,2020-08,캐나다,2,5
Chloe Walker,1974-09-12,51,여,1-504-977-9572,halljames@brown-hartman.biz,"9896 Kerri Spur Suite 947, Bakerville, PE P3X6J2",millerderek,2023-12-17,준대형 세단,Avante,False,2024-06-14,25630000,계좌이체,1,온라인,2020-09,캐나다,0,0
Noah Miller,1978-09-09,47,여,1-592-277-7085,phunter@hopkins.com,"213 David Island Suite 769, Kimberlystad, BC Y4P 3P4",gward,2023-03-01,소형 해치백,Tucson,False,2024-06-16,39120000,계좌이체,1,온라인,2021-07,캐나다,0,0
Emma Martin,1997-12-05,28,여,(417) 525-2324,codyharris@yahoo.com,"6280 Gonzalez Fork Suite 006, Melissamouth, YT X9B3M5",alvarezerika,2022-12-03,준중형 SUV,EV6,True,2025-02-16,78600000,신용카드,3,오프라인,2022-05,캐나다,1,1
Emma Harris,1990-01-15,35,여,755 872 9370,misty73@smith-brown.com,"2316 Brooks Brooks, North Mitchellberg, QC A2J5M8",wbuckley,2023-11-10,준대형 세단,Sportage,False,2025-01-06,39250000,신용카드,2,오프라인,2021-11,캐나다,2,5
Grace Miller,1998-11-27,27,여,+1 (137) 137-9987,john28@pierce.com,"7537 Nelson Heights Suite 125, Mooreburgh, MB Y7J 5L5",briannamcdaniel,2023-11-21,준중형 세단,Ioniq 6,True,2024-02-23,89010000,계좌이체,1,온라인,2023-01,캐나다,1,1
Emma Young,1978-07-08,47,여,(507) 186-0699 x399,johnsonpatrick@hotmail.com,"216 Terri Path, Smithburgh, NU V4E7B4",wardcarmen,2025-01-05,중형 SUV,EV6,True,2025-03-09,77450000,신용카드,2,온라인,2022-05,캐나다,1,2
Benjamin Martin,1992-07-01,33,여,650 969 4123,byrdsherry@malone.com,"71492 Jane Burg, Port Teresa, ON X9N 5Y5",jason72,2022-09-22,준중형 SUV,Avante,False,2023-07-27,22520000,현금,2,온라인,2020-09,캐나다,0,0
Grace Walker,1976-01-27,49,여,+1 (977) 638-3191,jesse43@wise.org,"8421 Angela Bypass Apt. 874, Martinland, SK E7E 6H8",paul30,2022-10-20,준중형 SUV,Ioniq 6,True,2023-09-15,71970000,계좌이체,4,온라인,2023-01,캐나다,3,3
Lucas Stewart,1971-07-09,54,남,317 817 0423,alicia81@gmail.com,"63041 Cooper Way, Jacksonfurt, BC A2P 1K1",stevensdonna,2023-01-05,중형 세단,Tucson,False,2024-05-22,43970000,신용카드,1,온라인,2021-07,캐나다,2,5
Olivia Scott,1968-08-18,57,여,(162) 238-0137,jeffersondenise@clay.com,"9613 Johnson Mountain Suite 272, Lake Juliastad, AB S4J 4P4",anthony62,2024-01-14,대형 세단,Grandeur,False,2024-04-25,68820000,신용카드,6,온라인,2022-03,캐나다,3,3
Olivia Young,1986-05-24,39,여,604.946.1730,craig32@vargas.com,"0741 Matthew Roads, Perrybury, NB K9R 6K8",james91,2024-09-29,소형 해치백,K5,False,2024-11-30,61260000,계좌이체,1,온라인,2020-01,캐나다,1,1
Benjamin Harris,1998-07-27,27,남,600-841-6267,reevesrussell@wong.biz,"39455 Price Summit, Dawnton, BC A3G 1J2",gmadden,2024-10-18,준중형 SUV,K5,False,2025-01-27,56840000,현금,1,온라인,2020-01,캐나다,1,1
Chloe Robinson,1964-09-20,61,여,+1 (309) 175-0751,wkennedy@gmail.com,"62284 Jessica Spring Suite 568, Muellerburgh, AB A8L 2Y1",patricknunez,2023-03-19,중형 SUV,Avante,False,2023-10-25,24550000,계좌이체,1,오프라인,2020-09,캐나다,0,0
Liam Robinson,1997-06-12,28,남,+1 (541) 442-7197,calebphillips@hotmail.com,"80029 Tina Stravenue Suite 473, Rogerview, MB G7L2J1",cunninghamshelby,2023-05-10,대형 SUV,GV70,False,2024-01-16,81870000,현금,1,오프라인,2022-08,캐나다,1,1
Noah Harris,1968-02-07,57,남,(214) 647-0236 x074,muelleralexander@gmail.com,"5313 Paul Mission, Lopezburgh, ON P8M 6C5",davisjohn,2024-02-26,준대형 SUV,Avante,False,2024-03-25,19310000,현금,1,오프라인,2020-09,캐나다,0,0
Ava Robinson,1988-02-18,37,여,(248) 281-7393 x396,lauriehenderson@cantrell.com,"4676 Ford Viaduct Suite 625, New Josestad, AB M6K 8G1",xavierwilson,2022-11-10,준중형 SUV,K5,False,2025-01-27,59160000,신용카드,1,온라인,2020-01,캐나다,1,1
Benjamin Young,1987-09-05,38,남,1 (414) 382-5520,krogers@herrera.org,"83905 Alexis Meadows Suite 308, Port Brian, ON A8E8S7",heatherpitts,2024-09-19,준중형 세단,K5,False,2025-03-05,68530000,신용카드,2,오프라인,2020-01,캐나다,1,1
Benjamin Thompson,1972-08-13,53,여,850-719-7095,michael40@yahoo.com,"87673 Sanchez Trail Suite 567, Franklinmouth, PE R4H 3S8",garybaker,2023-03-20,중형 SUV,NEXO,True,2024-04-02,61850000,현금,1,오프라인,2018-03,캐나다,1,2
James Harris,1967-03-02,58,남,(591) 905-6651,kylesmith@sanders-pearson.com,"8160 Patrick Road Apt. 917, East Erinburgh, NB K4T8L4",jonestara,2024-06-24,준중형 세단,G80,False,2024-10-04,72440000,계좌이체,2,온라인,2021-05,캐나다,1,2
Olivia Walker,1977-05-13,48,여,1-213-571-6826,yangjustin@schaefer-jackson.info,"8735 Martinez Views Suite 564, Orrborough, BC R6X 3Y7",ohall,2022-04-29,대형 세단,EV6,True,2022-05-20,79370000,현금,2,온라인,2022-05,캐나다,1,2
Liam Miller,1999-10-25,26,남,1-938-301-4857,bbrooks@stone.com,"244 Drake Ferry, South Cameron, NB R8B4Y7",christianelliott,2025-03-06,픽업트럭,EV6,True,2025-03-10,77890000,신용카드,6,오프라인,2022-05,캐나다,3,4
Emma Lee,1999-05-19,26,남,637.229.3804,aaronvillanueva@cobb.com,"6492 Gonzalez Spurs Suite 813, Lake Thomas, MB V9Y 2E6",rachael92,2023-10-19,준중형 해치백,GV70,False,2024-11-13,86040000,신용카드,2,오프라인,2022-08,캐나다,1,1
Liam Scott,1981-03-12,44,남,421-367-1603,sloanthomas@hotmail.com,"28749 Thomas Loop Suite 881, West Heatherbury, PE S2V 3Y9",seanschultz,2024-10-20,대형 SUV,Santa Fe,False,2025-02-22,43230000,신용카드,6,온라인,2020-10,캐나다,3,3
Lucas Thompson,1986-08-18,39,여,(608) 227-8146,john69@daniel.com,"48611 Reynolds Spring Apt. 306, Tranland, QC R2V5B2",annacowan,2023-05-01,준중형 해치백,Ioniq 6,True,2023-12-16,84640000,계좌이체,1,온라인,2023-01,캐나다,1,1
Olivia Thompson,1994-01-07,31,여,520.836.2487,clopez@hotmail.com,"3277 Johnson Mall, New Nancy, QC C9K1S7",kendra41,2025-03-19,준중형 세단,Accent,False,2025-03-24,22590000,신용카드,1,오프라인,2019-03,캐나다,2,5
Emma Harris,1981-04-29,44,남,(566) 337-5618,matthewchavez@hotmail.com,"294 Wagner Loop Apt. 883, Carterside, PE J5R 3B5",mark25,2023-11-26,준중형 해치백,Ioniq 6,True,2024-12-15,85490000,신용카드,1,온라인,2023-01,캐나다,1,1
Liam Stewart,1968-06-24,57,남,217 829 5988,cummingssydney@yahoo.com,"94038 Kevin Overpass, Christopherburgh, NS X6R 2N1",gfrank,2024-11-09,준대형 SUV,Grandeur,False,2025-03-04,67840000,계좌이체,5,온라인,2022-03,캐나다,3,3
Lucas Harris,1995-09-20,30,남,578-393-1329,ericabauer@carter.biz,"5574 Lewis Drive Apt. 070, Phillipmouth, NT J2X1M7",maxwelljulie,2023-11-10,준중형 SUV,G80,False,2024-02-08,75190000,신용카드,2,온라인,2021-05,캐나다,1,1
Grace Thompson,1992-01-05,33,여,553.176.6024,sburke@hotmail.com,"3369 Murphy Isle, Josetown, NS L1H 6S4",monicapayne,2024-12-03,중형 세단,Avante,False,2025-02-01,25650000,계좌이체,1,오프라인,2020-09,캐나다,0,0
Emma Harris,1993-11-11,32,남,+1 (160) 818-7588,robertsandrew@yahoo.com,"745 Devin Summit Suite 193, Salazarburgh, MB A4M 2M3",moodyjoshua,2023-08-15,준중형 세단,Santa Fe,False,2024-04-27,31640000,계좌이체,1,오프라인,2020-10,캐나다,0,0
Ava Young,1994-02-26,31,남,407-256-6872,adavidson@griffin-rose.com,"510 Garcia Locks, Gibsonfurt, NU J5G7G8",taylorlawrence,2024-04-01,준중형 세단,K5,False,2024-07-31,63170000,신용카드,3,온라인,2020-01,캐나다,3,4
Grace Harris,1986-08-06,39,여,591-209-4540 x289,anitadoyle@gmail.com,"9413 Hughes Groves Suite 899, Morrisontown, ON X2S5K2",marcusjohnson,2024-11-23,준대형 SUV,GV70,False,2025-01-17,75990000,계좌이체,1,온라인,2022-08,캐나다,1,1
Olivia Young,1967-11-06,58,남,1-644-742-7072,matthew27@hotmail.com,"95472 Ramirez Centers, Stewartland, PE E1L 4R8",tinashepard,2022-05-18,중형 세단,K5,False,2023-05-07,58410000,신용카드,3,오프라인,2020-01,캐나다,3,3
Noah Stewart,1985-08-16,40,여,+1 (889) 910-8587,macdonaldterry@gmail.com,"939 Tracie Lock, Monroefort, SK R8K8C2",awhite,2024-02-11,중형 SUV,Sportage,False,2025-03-26,47140000,신용카드,1,오프라인,2021-11,캐나다,2,5
James Young,1992-03-23,33,여,163.386.3813,julieortiz@cohen-mendez.biz,"466 Lamb Harbor, Chavezmouth, NB M5L6K5",andersondenise,2023-11-11,대형 SUV,Sorento,False,2024-03-22,69670000,현금,4,온라인,2021-04,캐나다,3,4
Grace Walker,1967-07-16,58,여,(301) 289-3482 x800,john65@roberts.biz,"001 Nancy Field Apt. 524, West Patriciaville, NT N3X8L7",fcherry,2025-01-06,준중형 해치백,G80,False,2025-03-25,89590000,신용카드,1,온라인,2021-05,캐나다,1,2
James Robinson,1976-02-15,49,여,279-333-3569 x420,laura76@yahoo.com,"295 Jessica Haven Apt. 031, Bryanfort, NB S4P 5G7",jacqueline54,2024-01-27,대형 세단,Grandeur,False,2024-03-16,66720000,계좌이체,1,오프라인,2022-03,캐나다,1,2
Ava Scott,1972-12-02,53,남,138-467-2644,janicedixon@wilson.com,"425 Martinez Place Suite 078, Port Katherinehaven, NL N5C1K8",christine85,2022-04-28,준중형 세단,Venue,False,2023-11-30,21730000,신용카드,5,오프라인,2021-01,캐나다,3,3
James Harris,1973-09-03,52,남,1-705-546-5120,nrodriguez@bailey.info,"03158 Gray Forks Suite 428, Lake Luketown, AB J1E 8P9",vsanchez,2025-02-26,대형 세단,i20,False,2025-03-07,20550000,신용카드,1,오프라인,2020-05,캐나다,2,5
Olivia Robinson,1966-01-30,59,여,634-329-2620,jasmine62@hotmail.com,"6578 Mary Valleys Apt. 939, Jaredtown, PE C9Y6X8",lschmidt,2024-06-30,픽업트럭,Kona,True,2024-07-05,35200000,신용카드,2,오프라인,2022-02,캐나다,2,5
Liam Scott,1987-05-23,38,남,728-397-8301 x898,richard07@yahoo.com,"56703 Seth Place Suite 587, Brianshire, ON G6B 3V1",richard90,2024-03-18,중형 SUV,Grandeur,False,2024-07-07,66530000,현금,3,온라인,2022-03,캐나다,3,4
Noah Thompson,1978-05-30,47,남,164-847-7392,crystal44@fleming.com,"901 Henry Throughway, Port Raymond, MB R7L 2G7",rbates,2024-04-19,픽업트럭,EV6,True,2024-05-14,85100000,계좌이체,3,온라인,2022-05,캐나다,1,2
Chloe Miller,1966-03-26,59,여,293-527-5652 x083,curtischarles@miller-glenn.com,"2900 Phillips Valley, Walterview, NB Y5R 3A9",colehenry,2023-02-23,준중형 해치백,Tucson,False,2023-06-04,37890000,현금,1,오프라인,2021-07,캐나다,2,5
James Thompson,1984-09-15,41,여,+1 (744) 710-6060,travischavez@hotmail.com,"1810 Stephen Valley, New Donnafort, PE E1E 6T7",steven65,2024-07-15,픽업트럭,Elantra,False,2025-03-16,33090000,계좌이체,2,온라인,2020-08,캐나다,0,0
Emma Thompson,1989-06-13,36,남,257-903-3675 x947,juliadavid@campbell.com,"045 James Wells, North Joseph, ON A1T 1B3",dbenton,2023-09-24,중형 SUV,NEXO,True,2024-06-12,64880000,계좌이체,1,오프라인,2018-03,캐나다,1,1
Emma Scott,1982-01-25,43,남,253-964-1638 x251,loriwalters@gmail.com,"217 Tina Fork Apt. 080, Angelatown, ON C6E9H1",kevin30,2023-12-08,중형 세단,Ioniq 6,True,2024-08-11,76220000,계좌이체,2,온라인,2023-01,캐나다,1,1
Benjamin Harris,1995-11-07,30,남,221-127-1681 x098,omccullough@yahoo.com,"2673 Wilson Bridge, Hubbardfurt, ON X7S5L2",thomas35,2024-10-28,중형 SUV,NEXO,True,2024-12-27,67690000,계좌이체,1,온라인,2018-03,캐나다,1,1
Noah Miller,1993-05-09,32,여,(995) 374-2525 x776,oshepherd@hotmail.com,"6032 Diane Streets, North Josephtown, PE B6T2C7",donaldbrown,2023-07-20,중형 세단,K5,False,2024-08-01,69020000,현금,4,온라인,2020-01,캐나다,3,4
